NAICS12, INDEX ITEM DESCRIPTION ,SIC
111219," Garlic farming (except under cover), field, bedding plant and seed production ",
111219,"Gingerroot farming (except under cover), field, bedding plant and seed production",
111219," Ginseng farming (except under cover), field, bedding plant and seed production ",
111219," Green bean farming, field and seed production ",
111219,"Green cowpea farming, field and seed production",
111219,"Green lima bean farming, field and seed production",
111219," Green pea farming, field and seed production ",
111219," Honeydew melon farming, field, bedding plant and seed production ",
111219," Kale farming, field, bedding plant and seed production ",
111219," Leek farming, field, bedding plant and seed production ",
111219," Lettuce farming, field, bedding plant and seed production ",
111219,"Melon farming (e.g., cantaloupe, casaba, honeydew, watermelon), field, bedding plant and seed production",
111219," Muskmelon farming, field, bedding plant and seed production ",
111219," Okra farming, field, bedding plant and seed production ",
111219," Onion farming, field, bedding plant and seed production ",
111219," Parsley farming, field, bedding plant and seed production ",
111219," Parsnip farming, field, bedding plant and seed production ",
111219," Pea (except dry) farming, field and seed production ",
111219,"Pepper (e.g., bell, chili, green, hot, red, sweet) farming",
111219," Pumpkin farming, field and seed production ",
111219," Radish farming, field and seed production ",
111219," Rhubarb farming, field and seed production ",
111219," Romaine lettuce farming, field and seed production ",
111219," Rutabaga farming, field and seed production ",
111219," Shallot farming, field and seed production ",
111219,"Snap bean farming (i.e., bush and pole), field and seed production",
111219," Snow pea farming, field and seed production ",
111219," Spaghetti squash farming, field, bedding plant and seed production ",
111219," Spinach farming, field, bedding plant and seed production ",
111219," Squash farming, field, bedding plant and seed production ",
111219," String bean farming, field and seed production ",
111219," Sweet corn farming, field and seed production ",
111219," Sweet pepper farming, field, bedding plant and seed production ",
111219," Taro farming, field and seed production ",
111219," Tomato farming (except under cover), field, bedding plant and seed production ",
111219," Truck farming, field, bedding plant and seed production ",
111219," Turnip farming, field, bedding plant and seed production ",
111219," Vegetable and melon farming, vegetable (except potato) and melon dominant crops, field, bedding plants and seed production ",
111219," Vegetable and potato farming, vegetable (except potato) dominant crops, field, bedding plants and seed production ",
111219," Watermelon farming, field, bedding plant and seed production ",
111219," Zucchini farming, field, bedding plant and seed production ",
111310, Orange groves ,
111320, Citrus groves (except orange) ,
111320, Grapefruit groves ,
111320, Lemon groves ,
111320, Lime groves ,
111320, Mandarin groves ,
111320, Tangelo groves ,
111320, Tangerine groves ,
111331, Apple orchards ,
111332, Grape farming without making wine ,
111332, Raisin farming ,
111333, Strawberry farming ,
111334, Berry (except strawberry) farming ,
111334, Blackberry farming ,
111334, Blueberry farming ,
111334, Boysenberry farming ,
111334, Cranberry farming ,
111334, Currant farming ,
111334, Dewberry farming ,
111334, Gooseberry farming ,
111334, Huckleberry farming ,
111334, Loganberry farming ,
111334, Raspberry farming ,
111334,Youngberry farming,
111335, Almond farming ,
111335, Brazil nut farming ,
111335, Cashew farming ,
111335, Filbert farming ,
111335, Hazelnut farming ,
111335,Macadamia farming,
111335, Pecan farming ,
111335, Pistachio farming ,
111335, Tree nut farming ,
111335, Walnut farming ,
111336, Fruit and tree nut combination farming ,
111339, Apricot farming ,
111339, Avocado farming ,
111339, Banana farming ,
111339, Cactus fruit farming ,
111339, Cherry farming ,
111339, Coconut tree farming ,
111339, Coffee farming ,
111339, Date farming ,
111339, Fig farming ,
111339, Guavas farming ,
111339, Kiwi fruit farming ,
111339, Mango farming ,
111339, Nectarine farming ,
111339,Noncitrus fruit farming,
111339, Olive farming ,
111339, Papaya farming ,
111339, Passion fruit farming ,
111339, Peach farming ,
111339, Pear farming ,
111339, Persimmon farming ,
111339, Pineapple farming ,
111339, Plantain farming ,
111339, Plum farming ,
111339, Pomegranate farming ,
111339, Prickly pear farming ,
111339, Prune farming ,
111339, Quince farming ,
111411, Mushroom farming ,
111411, Mushroom spawn farming ,
111411,Shitake mushroom farming,
111419," Alfalfa sprout farming, grown under cover ",
111419," Bean sprout farming,  grown under cover ",
111419," Cucumber farming, grown under cover ",
111419," Eggplant farming, grown under cover ",
111419," Endive farming, grown under cover ",
111419," English pea farming, grown under cover ",
111419," Escarole farming, grown under cover ",
111419," Fruit farming, grown under cover ",
111419," Garlic farming, grown under cover ",
111419,"Gingerroot farming, grown under cover",
111419," Ginseng farming, grown under cover ",
111419," Herb farming, grown under cover ",
111419, Hydroponic crop farming ,
111419," Melon farming, grown under cover ",
111419," Rhubarb, grown under cover ",
111419," Spice farming, grown under cover ",
111419," Tomato farming, grown under cover ",
111419," Truffles farming, grown under cover ",
111419," Vegetable farming, grown under cover ",
111421, Azalea farming ,
111421, Christmas tree growing ,
111421, Corms farming ,
111421,"Field nurseries (i.e., growing of flowers and shrubbery)",
111421, Flower bulb growing ,
111421,"Fruit stock (e.g., plants, seedlings, trees) growing",
111421, Herbaceous perennial growing ,
111421, Nursery stock growing ,
111421, Nursery with tree production (except for reforestation) ,
111421,Preseeded mat farming,
111421, Propagation material farming ,
111421, Rose bush growing ,
111421,"Short rotation woody tree growing (i.e., growing and harvesting cycle ten years or less)",
111421, Shrubbery farming ,
111421, Sod farming ,
111421, Tissue culture farming ,
111421," Tree crop farming (except forestry), short rotation growing and harvesting cycle ",
111422, Bedding plant growing (except vegetable and melon bedding plants) ,
111422, Cultivated florist greens growing ,
111422, Cut flower growing ,
111422, Cut rose growing ,
111422, Cuttings farming ,
111422, Flower growing ,
111422, Flower seed production ,
111422, Foliage growing ,
111422, Hanging basket plant growing ,
111422, House plant growing ,
111422, Ornamental plant growing ,
111422," Plant, ornamental, growing ",
111422," Plant, potted flower and foliage, growing ",
111422,"Plug (i.e., floriculture products) growing",
111910," Tobacco farming, field and seed production ",
111920," Cotton farming, field and seed production ",
111920, Cottonseed farming ,
111930," Cane farming, sugar, field production ",
111930," Sugarcane farming, field production ",
111940, Alfalfa hay farming ,
111940, Clover hay farming ,
111940, Grass hay farming ,
111940,"Hay farming (e.g., alfalfa hay, clover hay, grass hay)",
111940, Mixed hay farming ,
111991, Sugar beet farming ,
111992, Peanut farming ,
111998, Agave farming ,
111998, Alfalfa seed farming ,
111998, Aloe farming ,
111998, Amaranth farming ,
111998,Bentgrass seed farming,
111998, Bluegrass-Kentucky seed farming ,
111998, Chicory farming ,
111998, Clover seed farming ,
111998, Crimson cloves seed farming ,
111998,Fescue seed farming,
111998," General combination crop farming (except fruit and nut combinations, oilseed and grain, vegetable) ",
111998, Grass seed farming ,
111998,Guar farming,
111998, Hay seed farming ,
111998," Herb farming, open field ",
111998, Hop farming ,
111998,Jojoba farming,
111998,Kenaf farming,
111998,"Maple sap concentrating (i.e., producing pure maple syrup in the field)",
111998, Maple sap gathering ,
111998,"Maple syrup (i.e., maple sap reducing)",
111998, Mint farming ,
111998, Orchard grass seed farming ,
111998,Ryegrass seed farming,
111998,Sorghum sudan seed farming,
111998, Spice farming ,
111998,"Syrup, pure maple (i.e., maple syrup reducing)",
111998, Tea farming ,
112111," Backgrounding, cattle ",
112111, Beef cattle ranching or farming ,
112111,"Calf (e.g., feeder, stocker, veal) production",
112111, Cattle conditioning operations ,
112111, Cattle farming or ranching ,
112111, Dairy heifer replacement production ,
112111, Feeder calf production ,
112111, Stocker calf production ,
112111, Veal calf production ,
112112, Beef cattle feedlots (except stockyards for transportation) ,
112112, Cattle feedlots (except stockyards for transportation) ,
112112, Fattening cattle ,
112112," Feed yards (except stockyards for transportation), cattle ",
112112," Feedlots (except stockyards for transportation), cattle ",
112120, Dairy cattle farming ,
112120," Milk production, dairy cattle ",
112120, Milking dairy cattle ,
112210, Farrow-to-finish operations ,
112210, Feeder pig farming ,
112210," Feedlots (except stockyards for transportation), hog ",
112210," Hog and pig (including breeding, farrowing, nursery, and finishing activities) farming ",
112210, Hog feedlots (except stockyards for transportation) ,
112210, Pig farming ,
112210, Weaning pig operations ,
112310, Chicken egg production ,
112310," Chicken eggs (table, hatching) production ",
112310, Cull hen production ,
112310," Egg production, chicken ",
112310," Eggs, chicken (table, hatching) production ",
112310, Layer-type chicken production ,
112310, Started pullet production ,
112320, Broiler chicken production ,
112320, Chicken production (except egg laying) ,
112320, Cornish hen production ,
112320, Fryer chicken production ,
112320, Roaster chicken production ,
112330," Egg production, turkey ",
112330, Turkey egg production ,
112330, Turkey production ,
112340, Chicken hatcheries ,
112340," Egg hatcheries, poultry ",
112340," Hatcheries, poultry ",
112340, Poultry hatcheries ,
112340, Turkey hatcheries ,
112390,Chukar partridge production,
112390, Duck production ,
112390, Emu production ,
112390, Geese production ,
112390, Hungarian partridge production ,
112390, Ostrich production ,
112390, Partridge production ,
112390, Pheasant production ,
112390, Quail production ,
112390,Ratite production,
112410, Dairy sheep farming ,
112410," Feedlots (except stockyards for transportation), lamb ",
112410, Lamb feedlots (except stockyards for transportation) ,
112410, Milking dairy sheep ,
112410,"Sheep farming (e.g., meat, milk, wool production)",
112420, Angora goat farming ,
112420, Dairy goat farming ,
112420,"Goat farming (e.g., meat, milk, mohair production)",
112420, Milking dairy goat ,
112420, Mohair farming ,
112511,"Baitfish production, farm raising",
112511," Catfish production, farm raising ",
112511,"Finfish production, farm raising",
112511,"Finfish, hatcheries",
112511,"Fish farms, finfish",
112511," Goldfish production, farm raising ",
112511,"Hatcheries, finfish",
112511, Hybrid striped bass production ,
112511," Minnow production, farm raising ",
112511," Ornamental fish production, farm raising ",
112511,Tilapia production,
112511," Tropical fish production, farm raising ",
112511," Trout production, farm raising ",
112512," Clam production, farm raising ",
112512,"Crawfish production, farm raising",
112512," Crustacean production, farm raising ",
112512," Cultured pearl production, farm raising ",
112512," Fish farms, shellfish ",
112512," Hatcheries, shellfish ",
112512," Mollusk production, farm raising ",
112512," Mussel production, farm raising ",
112512," Oyster production, farm raising ",
112512, Shellfish hatcheries ,
112512," Shrimp production, farm raising ",
112519, Algae farming ,
112519," Alligator production, farm raising ",
112519,"Animal aquaculture (except finfish, shellfish)",
112519," Frog production, farm raising ",
112519, Plant aquaculture ,
112519, Sea plant agriculture ,
112519, Seaweed farming ,
112519," Turtle production, farm raising ",
112910, Bee pollen collection ,
112910,"Bee production (i.e., apiculture)",
112910, Beeswax production ,
112910, Honey bee production ,
112910,"Propolis production, bees",
112910, Queen bee production ,
112910," Royal jelly production, bees ",
112920, Burro production ,
112920, Donkey production ,
112920, Horse (including thoroughbreds) production ,
112920, Mule production ,
112920, Pony production ,
112930, Chinchilla production ,
112930, Fox production ,
112930, Fur bearing animal production ,
112930, Mink production ,
112930, Rabbit production ,
112990, Alpaca production ,
112990,"Aviaries (i.e., raising birds for sale)",
112990,"Bird production (e.g., canaries, love birds, parakeets, parrots)",
112990, Bison production ,
112990,"Breeding of pets (e.g., birds, cats, dogs)",
112990, Buffalo production ,
112990, Cat production ,
112990," Combination livestock farming (except dairy, poultry) ",
112990,"Companion animals production (e.g., cats, dogs, parakeets, parrots)",
112990, Cricket production ,
112990, Deer production ,
112990, Dog production ,
112990, Earthworm hatcheries ,
112990, Elk production ,
112990, General combination animal farming ,
112990," Kennels, breeding and raising stock for sale ",
112990,"Laboratory animal production (e.g., guinea pigs, mice, rats)",
112990, Llama production ,
112990," Raising swans, peacocks, flamingos, or other adornment birds ",
112990, Rattlesnake production ,
112990, Worm production ,
113110, Timber tract operations ,
113210, Aromatic wood gathering ,
113210, Balsam needles gathering ,
113210, Bark gathering ,
113210," Cherry gum, gathering ",
113210," Chestnut gum, gathering ",
113210," Forest nurseries for reforestation, growing trees ",
113210,"Gathering of forest products (e.g., barks, gums, needles, seeds)",
113210," Gathering, extracting, and selling tree seeds ",
113210, Ginseng gathering ,
113210,"Gum (i.e., forest product) gathering",
113210, Harvesting berries or nuts from native and non-cultivated plants ,
113210, Hemlock gum gathering ,
113210," Huckleberry greens, gathering of ",
113210, Moss gathering ,
113210, Nurseries for reforestation growing trees ,
113210, Pine gum extracting ,
113210, Spanish moss gathering ,
113210, Sphagnum moss gathering ,
113210, Spruce gum gathering ,
113210,Teaberries gathering,
113210, Tree seed extracting ,
113210, Tree seed gathering ,
113210, Tree seed growing for reforestation ,
113310, Cutting and transporting timber ,
113310, Cutting timber ,
113310, Log harvesting ,
113310, Logging ,
113310, Pulpwood logging camps ,
113310," Rails, rough wood, manufacturing ",
113310, Stump removing in the field ,
113310, Timber piling ,
113310, Timber pole cutting ,
113310, Tree chipping in the field ,
113310, Wood chipping in the field ,
114111, Anchovy fishing ,
114111, Bluefish fishing ,
114111, Cod catching ,
114111, Cod fishing ,
114111, Croaker fishing ,
114111, Dolphin fishing ,
114111, Eel fishing ,
114111,"Finfish fishing (e.g., flounder, salmon, trout)",
114111,"Fisheries, finfish",
114111, Flounder fishing ,
114111, Grouper fishing ,
114111, Haddock fishing ,
114111, Hake fishing ,
114111, Halibut fishing ,
114111, Herring fishing ,
114111,Lingcod fishing,
114111, Mackerel fishing ,
114111,Mahimahi fishing,
114111, Menhaden fishing ,
114111, Mullet fishing ,
114111, Perch fishing ,
114111, Pilchard  fishing ,
114111, Pollock fishing ,
114111, Porgy fishing ,
114111, Ray fishing ,
114111,Rockfish fishing,
114111,Sablefish fishing,
114111, Salmon fishing ,
114111, Sea bass fishing ,
114111, Sea herring fishing ,
114111, Sea trout fishing ,
114111, Shark fishing ,
114111, Snapper fishing ,
114111, Swordfish fishing ,
114111,Tilefish fishing,
114111, Trout fishing ,
114111, Tuna fishing ,
114111, Whiting fishing ,
114112, Clam digging ,
114112, Crabbing ,
114112, Crayfish fishing ,
114112," Fisheries, shellfish ",
114112, Lobster fishing ,
114112, Mussel fishing ,
114112, Octopus fishing ,
114112, Oyster dredging ,
114112, Scallop fishing ,
114112, Sea urchin fishing ,
114112,"Shellfish fishing (e.g., clam, crab, oyster, shrimp)",
114112, Shrimp fishing ,
114112, Squid fishing ,
114119, Frog fishing ,
114119, Seaweed gathering ,
114119, Sponge gathering ,
114119, Terrapin fishing ,
114119, Turtle fishing ,
114210," Animal trapping, commercial ",
114210, Fishing preserves ,
114210," Game preserves, commercial ",
114210, Game propagation ,
114210, Game retreats ,
114210, Hunting preserves ,
115111, Cotton ginning ,
115111, Ginning cotton ,
115112,"Aerial dusting or spraying (i.e., using specialized or dedicated aircraft)",
115112, Bracing of orchard trees and vines ,
115112, Chemical treatment of soil for crops ,
115112, Citrus grove cultivation services ,
115112, Crop dusting ,
115112, Crop spraying ,
115112, Cultivation services ,
115112,Detasseling corn,
115112, Disease control for crops ,
115112, Dusting crops ,
115112," Entomological service, agricultural ",
115112, Fertilizer application for crops ,
115112, Hoeing ,
115112, Insect control for crops ,
115112,"Orchard cultivation services (e.g., bracing, planting, pruning, removal, spraying, surgery)",
115112," Pest control services, agricultural ",
115112, Planting crops ,
115112, Plowing ,
115112, Pollinating ,
115112, Pruning of orchard trees and vines ,
115112, Seed bed preparing ,
115112, Seeding crops ,
115112, Spraying crops ,
115112, Spreading lime for crops ,
115112, Surgery on trees and vines ,
115112," Thinning of crops, mechanical and chemical ",
115112, Transplanting services ,
115112, Vineyard cultivation services ,
115112, Weed control services for crops ,
115113," Berries, machine harvesting ",
115113, Chopping and silo filling ,
115113," Combining, agricultural ",
115113," Cotton, machine harvesting ",
115113," Fruit, machine harvesting ",
115113," Grain, machine harvesting ",
115113," Hay mowing, raking, baling, and chopping ",
115113," Nuts, machine harvesting ",
115113," Peanut, machine harvesting ",
115113," Sugar beets, machine harvesting ",
115113," Sugarcane, machine harvesting ",
115113, Threshing service ,
115113," Vegetables, machine harvesting ",
115114, Almond hulling and shelling ,
115114, Banana ripening ,
115114, Bean cleaning ,
115114, Corn drying ,
115114, Corn shelling ,
115114, Crop cleaning ,
115114, Decorticating flax ,
115114,Delinting cottonseed,
115114, Filbert hulling and shelling ,
115114,Fruit precooling,
115114," Fruit sorting, grading, and packing ",
115114," Fruit, sun drying ",
115114," Fruit, vacuum cooling ",
115114, Fumigating grain ,
115114, Grain cleaning ,
115114, Grain drying ,
115114, Grain fumigation ,
115114, Grain grinding (except custom grinding for animal feed) ,
115114, Hulling and shelling of nuts ,
115114, Irradiation of fruits and vegetables ,
115114, Nut hulling and shelling ,
115114, Packaging fresh or farm-dried fruits and vegetables ,
115114, Packing fruits and vegetables ,
115114, Peanut shelling ,
115114, Pecan hulling and shelling ,
115114, Potato curing ,
115114,Retting flax,
115114, Rice drying ,
115114, Seed cleaning ,
115114,"Seed processing, post-harvest for propagation",
115114," Sorting, grading, cleaning, and packing of fruits and vegetables ",
115114," Sun drying of dates, prunes, raisins, and olives ",
115114, Sun drying of fruits and vegetables ,
115114, Sun drying of tomatoes ,
115114, Sweet potato curing ,
115114, Tobacco grading ,
115114,Vegetable precooling,
115114," Vegetable sorting, grading, and packing ",
115114, Vegetable sun drying ,
115114, Vegetable vacuum cooling ,
115114, Walnut hulling and shelling ,
115114," Waxing, fruits or vegetables ",
115115, Agriculture production or harvesting crews ,
115115," Crew leaders, farm labor ",
115115, Farm labor contractors ,
115115," Labor contractors, farm ",
115116, Farm management services ,
115116," Management services, farm ",
115210, Animal semen banks ,
115210, Artificial insemination services for livestock ,
115210, Artificial insemination services for pets ,
115210, Boarding horses (except racehorses) ,
115210, Branding ,
115210," Breeding, animal, services ",
115210, Bull testing stations ,
115210, Cattle spraying ,
115210, Cleaning poultry houses ,
115210," Corralling, drovers ",
115210, Dairy herd improvement associations ,
115210, Equine boarding ,
115210, Farriers ,
115210, Hoof trimming ,
115210," Horses (except racehorses), boarding ",
115210," Horses, training (except racehorses) ",
115210, Horseshoeing ,
115210, Livestock breeding services (except consulting) ,
115210, Livestock spraying ,
115210, Milk testing for butterfat and milk solids ,
115210,"Pedigree (i.e., livestock, pets, poultry) record services",
115210, Poultry catching services ,
115210, Reproductive flushing services for animals ,
115210, Semen collection ,
115210, Sheep dipping and shearing ,
115210," Showing of cattle, hogs, sheep, goats, and poultry ",
115210, Stud services ,
115210, Training horses (except racehorses) ,
115210, Vaccinating livestock (except by veterinarians) ,
115310, Cruising timber ,
115310, Estimating timber ,
115310," Fire prevention, forest ",
115310," Firefighting, forest ",
115310, Forest management plans preparation ,
115310, Forestry services ,
115310," Pest control services, forestry ",
115310, Reforestation ,
115310, Timber valuation ,
211111, Coal gasification at mine site ,
211111, Coal liquefaction at mine site ,
211111, Coal pyrolysis ,
211111, Crude petroleum from oil sand ,
211111, Crude petroleum from oil shale ,
211111, Crude petroleum production ,
211111," Gas, natural, extraction ",
211111,Kerogen processing,
211111, Lease condensate production ,
211111, Natural gas production ,
211111," Natural gas, offshore production ",
211111, Offshore crude petroleum production ,
211111, Offshore natural gas production ,
211111, Oil and gas field development for own account ,
211111, Oil and gas field exploration for own account ,
211111,Oil shale mining and/or beneficiating,
211111,"Petroleum, crude, production (i.e., extraction)",
211111,"Shale, oil, mining and/or beneficiating",
211111, Stripper well production ,
211111, Tar sands mining ,
211112," Butane, natural, mining ",
211112, Casing-head butane and propane production ,
211112," Condensate, cycle, natural gas production ",
211112, Cycle condensate production ,
211112, Ethane recovered from oil and gas field gases ,
211112, Fractionating natural gas liquids ,
211112," Gas, natural liquefied petroleum, extraction ",
211112," Gas, natural, liquids, extraction ",
211112," Gas, residue, extraction ",
211112," Gases, petroleum, liquefied, extraction ",
211112," Gasoline, natural, production ",
211112,Isobutane recovered from oil and gas field gases,
211112,Isopentane recovered from oil and gas field gases,
211112," Liquefied petroleum gases (LPG), natural ",
211112, Liquid hydrocarbons recovered from oil and gas field gases ,
211112,"Liquids, natural gas (e.g., ethane, isobutane, natural gasoline, propane) recovered from oil and gas field gases",
211112,"Natural gas liquids (e.g., ethane, isobutane, natural gasoline, propane) recovered from oil and gas field gases",
211112, Natural gasoline recovered from oil and gas field gases ,
211112," Oil line drip, natural gas liquid ",
211112," Petroleum gases, liquefied, recovering from oil and gas field gases ",
211112, Propane recovered from oil and gas field gases ,
211112, Residue gas production ,
211112, Sulfur recovered from natural gas ,
212111, Bituminous coal and lignite surface mine site development for own account ,
212111, Bituminous coal cleaning plants ,
212111, Bituminous coal crushing ,
212111,"Bituminous coal or lignite beneficiating (e.g., cleaning, crushing, screening, washing)",
212111, Bituminous coal screening plants ,
212111," Bituminous coal stripping (except on a contract, fee, or other basis) ",
212111,Bituminous coal surface mining and/or beneficiating,
212111,Bituminous coal washeries,
212111,Brown coal mining and/or beneficiating,
212111," Cleaning plants, bituminous coal ",
212111,"Coal beneficiating plants, bituminous or lignite (surface or underground)",
212111,"Coal, bituminous, beneficiating",
212111,"Coal, brown, mining and/or beneficiating",
212111," Crushing plants, bituminous coal ",
212111,"Culm bank recovery, bituminous coal or lignite (except on a contract basis)",
212111,Lignite surface mining and/or beneficiating,
212111," Screening plants, bituminous coal or lignite ",
212111,Semianthracite surface mining and/or beneficiating,
212111,Semibituminous coal surface mining and/or beneficiating,
212111," Strip mining, bituminous coal or lignite, on own account ",
212111," Strip mining, lignite, on own account ",
212111,Subbituminous coal surface mining and/or beneficiating,
212111,"Tipple operation, bituminous coal mining and/or beneficiating",
212111,"Washeries, bituminous coal or lignite",
212112, Bituminous coal underground mine site development for own account ,
212112,Bituminous coal underground mining or mining and beneficiating,
212112,"Coal, bituminous, underground mining or mining and beneficiating",
212112,Semianthracite underground mining or mining and beneficiating,
212112,Semibituminous coal underground mining or mining and beneficiating,
212112,Subbituminous coal underground mining or mining and beneficiating,
212113,"Anthracite beneficiating (e.g., crushing, screening, washing, cleaning, sizing)",
212113,Anthracite mining and/or beneficiating,
212113,"Breakers, anthracite mining and/or beneficiating",
212113," Cleaning plants, anthracite coal ",
212113,"Coal beneficiating plants, anthracite",
212113,"Coal, anthracite, mining and/or beneficiating",
212113,"Culm bank recovery, anthracite (except on a contract basis)",
212113,"Hard coal (i.e., anthracite) surface mining",
212113,"Hard coal (i.e., anthracite) underground mining",
212113,Pennsylvania anthracite mining and/or beneficiating,
212113," Preparation plants, anthracite ",
212113," Screening plants, anthracite ",
212113," Strip mining, anthracite, on own account ",
212113,"Washeries, anthracite",
212210,"Agglomerates, iron ore, beneficiating",
212210,"Briquets, iron, mining and/or beneficiating",
212210,Brown ore mining and/or beneficiating,
212210,Hematite mining and/or beneficiating,
212210,"Iron ore (e.g., hematite, magnetite, siderite, taconite) mining and/or beneficiating",
212210,Iron ore agglomerates mining and/or beneficiating,
212210,"Iron ore beneficiating plants (e.g., agglomeration, sintering)",
212210, Iron ore mine site development for own account ,
212210,"Iron ore, blocked, mining and/or beneficiating",
212210,Limonite mining and/or beneficiating,
212210,"Manganiferous ores valued for iron content, mining and/or beneficiating",
212210,Siderite mining and/or beneficiating,
212210, Sintered iron ore produced at the mine ,
212210,Taconite concentrates or agglomerates beneficiating,
212210,Taconite ores mining and/or beneficiating,
212221," Bullion, gold, produced at the mine ",
212221,Calaverite mining and/or beneficiating,
212221,Gold lode mining and/or beneficiating,
212221, Gold ore mine site development for own account ,
212221,Gold ore mining and/or beneficiating plants,
212221,"Gold ores, concentrates, bullion, and/or precipitates mining and/or beneficiating",
212221,Gold placer mining and/or beneficiating,
212221,Lode gold mining and/or beneficiating,
212221,Placer gold mining and/or beneficiating,
212221,Sylvanite mining and/or beneficiating,
212221,Telluride (gold) mining and/or beneficiating,
212222," Bullion, silver, produced at the mine ",
212222,Placer silver mining and/or beneficiating,
212222,Silver ores mining and/or beneficiating,
212231,Blende (zinc) mining and/or beneficiating,
212231,Calamine mining and/or beneficiating,
212231,Cerussite mining and/or beneficiating,
212231,Galena mining and/or beneficiating,
212231, Lead ore mine site development for own account ,
212231,Lead ore mining and/or beneficiating,
212231,Lead-zinc ore mining and/or beneficiating,
212231,Smithsonite mining and/or beneficiating,
212231,Sphalerite mining and/or beneficiating,
212231,Willemite mining and/or beneficiating,
212231, Zinc ore mine site development for own account ,
212231,Zinc ores mining and/or beneficiating,
212231,Zinc-blende (sphalerite) mining and/or beneficiating,
212231,Zincite mining and/or beneficiating,
212234,Chalcocite mining and/or beneficiating,
212234,Chalcopyrite mining and/or beneficiating,
212234,Copper beneficiating plants,
212234, Copper ore concentrates recovery ,
212234, Copper ore mine site development for own account ,
212234,Copper ores mining and/or beneficiating,
212234, Copper-water precipitates ,
212234,Cuprite mining and/or beneficiating,
212234, Nickel concentrates recovery ,
212234,Nickel ore beneficiating plants,
212234, Nickel ore mine site development for own account ,
212234,Nickel ores mining and/or beneficiating,
212291,Carnotite mining and/or beneficiating,
212291," Leaching of uranium, radium, or vanadium ores ",
212291,Pitchblende mining and/or beneficiating,
212291,Radium ores mining and/or beneficiating,
212291,Roscoelite (vanadium hydromica) mining and/or beneficiating,
212291,Tyuyamunite mining and/or beneficiating,
212291,Uraninite (pitchblende) mining and/or beneficiating,
212291,Uranium ores mining and/or beneficiating,
212291, Uranium-radium-vanadium ore mine site development for own account ,
212291,Uranium-radium-vanadium ores mining and/or beneficiating,
212291,Vanadium ores mining and/or beneficiating,
212299,Antimony concentrates mining and/or beneficiating,
212299,Antimony ores mining and/or beneficiating,
212299,Bastnaesite mining and/or beneficiating,
212299,Bauxite mining and/or beneficiating,
212299,Beryl mining and/or beneficiating,
212299,Beryllium concentrates beneficiating,
212299,Beryllium ores mining and/or beneficiating,
212299,Cerium concentrates mining and/or beneficiating,
212299,Cerium ores mining and/or beneficiating,
212299,Chromite mining and/or beneficiating,
