5690,Commercial Services,Clothing/Tailor
7699,Commercial Services,Appliance
4499,Commercial Services,Boat
7699,Commercial Services,Equipment and Machine (includes TV and Stero)
7699,Commercial Services,Misc.
7538,Commercial Services,Automobile Services and Repair
5540,Commercial Services,Gas Station w. or w/our repair
5540,Commercial Services,Gas Station w/ or w/out rpail and w/Mini market
7538,Commercial Services,"Vehicle repair, tires, stereo, body, lube, tune, oil, wheels"
7542,Commercial Services,Car Wash
7359,Commercial Services,Rental Service
7359,Commercial Services,Equipment / Leasing
7622,Commercial Services,Video/Electronic/Telephone Components and Equipment
7549,Commercial Services,Auto
6531,Commercial Services,Commericl Industrial Space Leasing
8700,Offices,Professional Office
8712,Offices,Architecture
8711,Offices,Engineering
7336,Offices,Graphic Design
5023,Offices,Interior Design
8100,Offices,Legal Offices
8748,Offices,Consulting
7310,Offices,Advertising
9222,Offices,Counseling
8720,Offices,Accountant/Bookkeeping
7389,Offices,Freelance Writing
9110,Offices,Mic. Professional Office
,Offices,Research
8733,Offices,Nonprofit Organization
8010,Offices,Medical/ Health Office
740,Offices,Veterinary
8010,Offices,Physician/Optometrist/Health Professional
,Offices,Laboratory
8020,Offices,Dental/Orthodontist
8049,Offices,Acupuncture
8041,Offices,Chiropractor
8000,Offices,Physical Therapy
4119,Offices,Ambulance Service
6390,Offices,"Financial, Insurance, Real Estate Office"
6700,Offices,"Holding, Investment, Security, Commodity Brokerage Service"
6530,Offices,Real Estate
,Offices,"Combines Real Estate, Insurance Carriers, ect. "
8100 - wrong,Offices,Title Compnet and Escrow Service
6400,Offices,"Insurance Carriers, Agents, Brokers, Services"
8660,Public Facilities (Community and Institutional),Church/ Religious Purposes
8200,Public Facilities (Community and Institutional),Educational (includes public/private)
8350,Public Facilities (Community and Institutional),Preschool/ Childcare
8210,Public Facilities (Community and Institutional),Elementary School
8210,Public Facilities (Community and Institutional),r. High / Middle School
8210,Public Facilities (Community and Institutional),High Shool
8221,Public Facilities (Community and Institutional),College / University
8221,Public Facilities (Community and Institutional),Professional/ Trade School
8099,Public Facilities (Community and Institutional),Health Care
8060,Public Facilities (Community and Institutional),Hospital/ Clinic
9190,Public Facilities (Community and Institutional),Government and Public Agencies
,Public Facilities (Community and Institutional),Federal (includes PostOffice)
,Public Facilities (Community and Institutional),State
,Public Facilities (Community and Institutional),County
,Public Facilities (Community and Institutional),City (does not inlude libraries or the wharf)
4930,Public Facilities (Community and Institutional),Utility and Resources
4900,Public Facilities (Community and Institutional),Gas/ Electric
4940,Public Facilities (Community and Institutional),Water
,Public Facilities (Community and Institutional),Sanitation
9190,Public Facilities (Community and Institutional),"Flood Cotnrol, Erosion"
4890,Public Facilities (Community and Institutional),Communication and Information Services
4830,Public Facilities (Community and Institutional),Radio/ TV
4810,Public Facilities (Community and Institutional),Phone
4820,Public Facilities (Community and Institutional),Telegraph
2710,Public Facilities (Community and Institutional),"Newspaper publication, print, write"
2720,Public Facilities (Community and Institutional),"Magazine publication, print, write"
2700,Public Facilities (Community and Institutional),"Books publication, print, write"
8230,Public Facilities (Community and Institutional),Libraries
,Public Facilities (Community and Institutional),Transportation and Marine Facilities
4010,Public Facilities (Community and Institutional),Railroad
4110,Public Facilities (Community and Institutional),"Local/Interurban Passenger Transit (bus, cab)"
4200,Public Facilities (Community and Institutional),"Motor Freight, Trucking, Warehousing"
4780,Public Facilities (Community and Institutional),Misc. Transportation Services
,Public Facilities (Community and Institutional),"Marine Facilites and Related (includes Harbor, fishing, the Wharf)"
8600,Public Facilities (Community and Institutional),"Community Organizations, Associations, Clubs and Meeting Halls (that are not just business offices)"
8600,Public Facilities (Community and Institutional),"Organizations, Association, Cluibs and Lodgehalls (includes Veterans, Unions, Elks, Boys Cluib, YWCA)"
7389,Public Facilities (Community and Institutional),Conference / Community Centers
7922,Public Facilities (Community and Institutional),Auditorium
8410,Culture and Entertainment,Museums and Art Galleries
7929,Culture and Entertainment,Acting/ Art/ Music/ Dance Facilites/ Studios/ Schools
7920,Culture and Entertainment,Theater
7830,Culture and Entertainment,Movie Theater
7920,Culture and Entertainment,"Performing Arts, Theater"
5813,Culture and Entertainment,"Night Clubs, Music Halls"
,Culture and Entertainment,Mission Adobe
7840,Culture and Entertainment,Video Rental
7999,Culture and Entertainment,"Undeveloped Parkland, Open Space / Greenbelt"
7999,Culture and Entertainment,"Developed Parklind, Beaches"
7997,Culture and Entertainment,Sports and Recreation Facilities
7999,Culture and Entertainment,Bowling
7999,Culture and Entertainment,Billiards / Pool Hall
7997,Culture and Entertainment,Martial Arts
7991,Culture and Entertainment,Health Clubs / Gyms
7997,Culture and Entertainment,Misc. sports and recreation facilities
7996,Culture and Entertainment,"Amusement Parks, Arcafes and related"
7992,Culture and Entertainment,Golf Courses
,Residential,Single Family Residential
,Residential,Single Family Home
,Residential,Accessory Dwelling Unit
,Residential,One Unit Apartment
,Residential,Duplex
,Residential,2 unit multi-family
,Residential,2 unit condo
,Residential,Triplex
,Residential,2 unit multi-family
,Residential,3 unit condo
,Residential,Multi-family (4-9 units)
,Residential,4 unit multi-family
,Residential,4 unit condo
,Residential,5-9 unit multi-family
,Residential,5-9 unit condo
,Residential,Multi-family (10+ units)
,Residential,10+ units Multi-family
,Residential,10+ units condo
,Residential,Group Quarters Facilites
,Residential,Residential Halls or Dorms
,Residential,Retirement Homes
,Residential,Religious Quarters
,Residential,Military Quarters
8051,Residential,Residential Care Facilities (includes Rest Homes / Convalescent Homes)
,Residential,Single Room Occupancy (SRO) Housing
,Residential,Affordable Lower Inc. (65% of median)
,Residential,Affordable Low Inc. (80% of median)
,Residential,Other/Market Rate
,Residential,Senior
,Residential,Undetermined Mix
7033,Vacant Lands and Parking,Mobile Home/ Trailer Parks
7999,Vacant Lands and Parking,Vacant Parcels
7999,Vacant Lands and Parking,Underutilized Land
,Vacant Lands and Parking,Supplemental Residential Use
,Vacant Lands and Parking,Common Areas -- Condos
7999,Vacant Lands and Parking,Private Parking
7999,Vacant Lands and Parking,Reserved
7999,Vacant Lands and Parking,Public Use
7520,Vacant Lands and Parking,Private Parking (Unknown Use)
7520,Vacant Lands and Parking,Public Parking Off-Street Lots and Structures)
7520,Vacant Lands and Parking,Public On-Street Parking
7520,Vacant Lands and Parking,Metererd
7520,Vacant Lands and Parking,Permit
7520,Vacant Lands and Parking,Nonmetered
