BCC,CLASSIFICATION,BUSINESS_TYPE,SIC
1355,CLASSA,VARIETY STORES,5331-VARIETY STORES
1357,CLASSA,VIDEO EQUIP-RETAIL,"5731-RADIO, TV, & ELECTRONIC STORES"
1360,CLASSA,WATER SOFTENERS/EQUIP/SUPPLY,"3589-SERVICE INDUSTRY MACHINERY, NEC"
1404,CLASSA,BAKERY PRODUCTS - WHLS,"5149-GROCERIES AND RELATED PRODUCTS, NEC"
1408,CLASSA,BLDG MATERIAL - MISC WHLS,"5039-CONSTRUCTION MATERIALS, NEC"
1412,CLASSA,CONFECTIONARY & RELATED WHLS,5145-CONFECTIONERY
1416,CLASSA,DAIRY PRODUCTS - WHLS,"5143-DAIRY PRODUCTS, EXC. DRIED OR CANNED"
1420,CLASSA,CHEMICALS/RELATED - WHLS,"5169-CHEMICALS & ALLIED PRODUCTS, NEC"
1424,CLASSA,DRUGS/SUNDRIES/RELATED WHLS,5912-DRUG STORES AND PROPRIETARY STORES
1428,CLASSA,FISH/SEAFOOD - WHLS,5146-FISH AND SEAFOODS
1432,CLASSA,FROZEN FOODS - WHLS,5142-PACKAGED FROZEN FOODS
1436,CLASSA,HEALTH FOODS - WHLS,"5149-GROCERIES AND RELATED PRODUCTS, NEC"
1440,CLASSA,INDUSTRIAL SUPPLIES - WHLS,5085-INDUSTRIAL SUPPLIES
1444,CLASSA,LUMBER/CONSTR MATERIAL - WHLS,"5039-CONSTRUCTION MATERIALS, NEC"
1448,CLASSA,MEAT/MEAT PRODUCTS - WHLS,5147-MEATS AND MEAT PRODUCTS
1452,CLASSA,MISC FOOD TRADE - WHLS,"5141-GROCERIES, GENERAL LINE"
1456,CLASSA,MISC WHOLESALE TRADE,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1460,CLASSA,NURSERY/PRODUCTS/RELATED WHLS,5093-SCRAP AND WASTE MATERIALS
1464,CLASSA,PAPER PRODUCTS/RELATED WHLS,5113-INDUSTRIAL & PERSONAL SERVICE PAPER
1468,CLASSA,POULTRY/POULTRY PRODUCTS WHLS,5144-POULTRY AND POULTRY PRODUCTS
1472,CLASSA,PRODUCE - WHLS,5148-FRESH FRUITS AND VEGETABLES
1476,CLASSA,SPECIAL EQUIP/MACH/SUPPLY WHLS,"5049-PROFESSIONAL EQUIPMENT, NEC"
1478,CLASSA,SOFTWARE - WHLS,"5045-COMPUTERS, PERIPHERALS & SOFTWARE"
1508,CLASSA,BOAT BUILDING/RELATED MFG,3732-BOAT BUILDING AND REPAIRING
1516,CLASSA,ELECTRONIC EQUIP - MFG,3651-HOUSEHOLD AUDIO AND VIDEO EQUIPMENT
1524,CLASSA,FAB METAL PRODUCTS - MFG,3641-ELECTRIC LAMPS
1532,CLASSA,FABRICATED WIRE PRODUCTS - MFG,3496-MISC. FABRICATED WIRE PRODUCTS
1540,CLASSA,FOOD PREPARATION/MFG,2032-CANNED SPECIALTIES
1548,CLASSA,INDUSTRIAL MACH/EQUIP - MFG,"3544-SPECIAL DIES, TOOLS, JIGS & FIXTURES"
1556,CLASSA,MISC MANUFACTURING,"3999-MANUFACTURING INDUSTRIES, NEC"
1564,CLASSA,PLASTIC MATERIALS - MFG,"3089-PLASTICS PRODUCTS, NEC"
1572,CLASSA,SOLAR EQUIP/RELATED - MFG,"3433-HEATING EQUIPMENT, EXCEPT ELECTRIC"
1580,CLASSA,SOFTWARE MFG.,7371-COMPUTER PROGRAMMING SERVICES
1605,CLASSA,CEMENT CONTRACTOR,1771-CONCRETE WORK
1610,CLASSA,DRYWALL CONTRACTOR,"1742-PLASTERING, DRYWALL, AND INSULATION"
1615,CLASSA,ELECTRICAL CONTRACTORS,1731-ELECTRICAL WORK
1620,CLASSA,GENERAL BUILDING CONTRACTORS,1521-SINGLE-FAMILY HOUSING CONSTRUCTION
1625,CLASSA,GENERAL ENGINEERING CONTRACTOR,8711-ENGINEERING SERVICES
1630,CLASSA,GRADING/PAVING CONTRACTOR,1611-HIGHWAY AND STREET CONSTRUCTION
1633,CLASSA,LANDSCAPING CONTRACTOR,"1799-SPECIAL TRADE CONTRACTORS, NEC"
1635,CLASSA,MASONRY/TILE/PLASTER CONTR,1741-MASONRY AND OTHER STONEWORK
1640,CLASSA,ORNAMENTAL/METAL WORK CONTR,"1799-SPECIAL TRADE CONTRACTORS, NEC"
1645,CLASSA,PAINTING/PAPER HANGING CONTR,1721-PAINTING AND PAPER HANGING
1650,CLASSA,PLUMBING CONTRACTOR,"1711-PLUMBING, HEATING, AIR-CONDITIONING"
1655,CLASSA,ROOFING CONTRACTORS,"1761-ROOFING, SIDING, AND SHEET METAL WORK"
1660,CLASSA,SHEET METAL CONTRACTORS,"1761-ROOFING, SIDING, AND SHEET METAL WORK"
1665,CLASSA,SPECIAL CONSTR CONTRACTORS,"1799-SPECIAL TRADE CONTRACTORS, NEC"
1670,CLASSA,STRUCTURAL STEEL CONTRACTORS,"1799-SPECIAL TRADE CONTRACTORS, NEC"
1675,CLASSA,SWIMMING POOL CONSTR CONTR,"1799-SPECIAL TRADE CONTRACTORS, NEC"
1903,CLASSA,ART GALLERIES,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1905,CLASSA,"BOOKS, PUBLISHING/PRINTING",2731-BOOK PUBLISHING
1906,CLASSA,"BUILDING SERVICES, OTHER","1799-SPECIAL TRADE CONTRACTORS, NEC"
1909,CLASSA,BUS TRANS OFFICES/TERMINALS,4173-BUS TERMINAL AND SERVICE FACILITIES
1912,CLASSA,"FORESTRY SERVICES, OTHER",0851-FORESTRY SERVICES
1915,CLASSA,FUEL WOOD - WHOLESALE/STORAGE,"5989-FUEL DEALERS, NEC"
1918,CLASSA,LEATHER TANNING,3111-LEATHER TANNING AND FINISHING
1921,CLASSA,MAUSOLEUM,7261-FUNERAL SERVICE AND CREMATORIES
1924,CLASSA,METALS & MINERALS,"1099-METAL ORES, NEC"
1927,CLASSA,MILLWORK,"2269-FINISHING PLANTS, NEC"
1933,CLASSA,MOTION PICTURE PRODUCTION,7812-MOTION PICTURE & VIDEO PRODUCTION
1936,CLASSA,MOTOR FREIGHT TERMINALS,4231-TRUCKING TERMINAL FACILITIES
1937,CLASSA,MOTOR FRT OFFICES/STORAGE,4214-LOCAL TRUCKING WITH STORAGE
1939,CLASSA,MUSEUMS,8412-MUSEUMS AND ART GALLERIES
1942,CLASSA,NEWSPAPERS & MAGAZINES - WHLS,5994-NEWS DEALERS AND NEWSSTANDS
1945,CLASSA,"NEWSPAPERS, PUBLISHING/PRINTNG",2711-NEWSPAPERS
1948,NONPROFIT,NON PROFIT BUSINESS/SALES,"5999-MISCELLANEOUS RETAIL STORES, NEC"
1951,CLASSA,"PERIODICALS,PUBLISHING/PRINTNG",2721-PERIODICALS
1954,CLASSA,PETROLEUM BULK - WHOLESALE,2911-PETROLEUM REFINING
1957,CLASSA,PLUMB/HEAT/AIR/SPRINKLER/VENT,"7699-REPAIR SERVICES, NEC"
1960,CLASSA,PREFABRICATION OF WOOD BLDGS,1541-INDUSTRIAL BUILDINGS AND WAREHOUSES
1963,CLASSA,PRESSED & MOLDED PULP GOODS,5113-INDUSTRIAL & PERSONAL SERVICE PAPER
1966,CLASSA,SCRAP & WASTE MATERIALS,5093-SCRAP AND WASTE MATERIALS
1969,CLASSA,SPECIAL INDUSTRIAL MACHINERY,"3559-SPECIAL INDUSTRY MACHINERY, NEC"
1972,CLASSA,TRADING STAMP SERVICES,"8999-SERVICES, NEC"
1975,CLASSA,"TRANSPORTATION EQUIP, OTHER","3799-TRANSPORTATION EQUIPMENT, NEC"
1978,CLASSA,VENDING MACH BUSINESS/OFFICE,3581-AUTOMATIC VENDING MACHINES
1981,CLASSA,WATER WELL DRILLING,1781-WATER WELL DRILLING
1984,CLASSA,WOOD CUTTING/HAULING,"5989-FUEL DEALERS, NEC"
2003,CLASSB,ADVERTISING/RELATED SERVICES,7311-ADVERTISING AGENCIES
2006,CLASSB,AIRCRAFT STORAGE/REPAIR/MAINT,"7699-REPAIR SERVICES, NEC"
2009,CLASSB,AIRPORT & FLYING FIELDS,"4581-AIRPORTS, FLYING FIELDS, & SERVICES"
2011,CLASSB,AMBULANCE BUSINESS,"4119-LOCAL PASSENGER TRANSPORTATION, NEC"
2012,CLASSB,ANIMAL KENNALS & BOARDING,"0742-VETERINARY SERVICES, SPECIALTIES"
2015,CLASSB,APPLIANCE REPAIR/SERVICE,"7629-ELECTRICAL REPAIR SHOPS, NEC"
2018,CLASSB,APPLIED RESEARCH SERVICES,8733-NONCOMMERCIAL RESEARCH ORGANIZATIONS
2021,CLASSB,ARTIST/ART STUDIO/RESTORATION,"8999-SERVICES, NEC"
2022,CLASSB,AUCTION COMPANIES,"7389-BUSINESS SERVICES, NEC"
2024,CLASSB,AUTO GLASS INSTALLATION/SERV,7536-AUTOMOTIVE GLASS REPLACEMENT SHOPS
2027,CLASSB,AUTO PAINT & BODY SHOPS,7532-TOP & BODY REPAIR & PAINT SHOPS
2030,CLASSB,AUTO SEATS/TOPS REPAIR/SERVICE,7532-TOP & BODY REPAIR & PAINT SHOPS
2033,CLASSB,"AUTO, TRUCK, TRAILER RENT/LEAS","7513-TRUCK RENTAL AND LEASING, NO DRIVERS"
2036,CLASSB,"AUTO WASHING, POLISHING",7542-CARWASHES
2039,CLASSB,AUTOMOBILE REPAIR,7538-GENERAL AUTOMOTIVE REPAIR SHOPS
2042,CLASSB,"AUTOMOBILE SERVICES, OTHER","7549-AUTOMOTIVE SERVICES, NEC"
2045,CLASSB,BARBER SERVICES,7241-BARBER SHOPS
2048,CLASSB,BEAUTY SERVICES,7231-BEAUTY SHOPS
2050,CLASSB,BOAT CHARTER/BOAT RENTAL SVCS,3732-BOAT BUILDING AND REPAIRING
2051,CLASSB,BOAT REPAIR/SERVICE/MAINT,3732-BOAT BUILDING AND REPAIRING
2054,CLASSB,BOOKKEEPING & RELATED SERVICES,"7299-MISCELLANEOUS PERSONAL SERVICES, NEC"
2060,CLASSB,BUILDING EQUIP INSTALLATION,"8999-SERVICES, NEC"
2063,CLASSB,BUSINESS MACHINE REPAIR,"7699-REPAIR SERVICES, NEC"
2066,CLASSB,BUSINESS/MANAGEMENT CONSULTING,8741-MANAGEMENT SERVICES
2069,CLASSB,"CAR WASHING, SELF SERVICE",7542-CARWASHES
2072,CLASSB,"CARPENTERING,CABINET SHOPS,ETC",1751-CARPENTRY WORK
2075,CLASSB,CHARTER BUS COMPANIES,"4142-BUS CHARTER SERVICE, EXCEPT LOCAL"
2078,CLASSB,"COATING, PLATING, ENGRAVING",3479-METAL COATING AND ALLIED SERVICES
2081,CLASSB,COLLECTION AGENCY,7322-ADJUSTMENT & COLLECTION SERVICES
2082,CLASSB,COMMUNICATION EQUIP. FACILITY,3663-RADIO & TV COMMUNICATIONS EQUIPMENT
2083,CLASSB,COMPUTER SERVICES - OTHER,"7379-COMPUTER RELATED SERVICES, NEC"
2084,CLASSB,CONCRETE SERVICES,1771-CONCRETE WORK
2085,CLASSB,COMPUTER CONSULTING,"7379-COMPUTER RELATED SERVICES, NEC"
2086,CLASSB,CONSULTING - OTHER,"8999-SERVICES, NEC"
2087,CLASSB,CREDIT REPORTING,7323-CREDIT REPORTING SERVICES
2090,CLASSB,"CREDIT SERVICES, BUS/PERSONAL",7323-CREDIT REPORTING SERVICES
2093,CLASSB,CUSTOM TAILORING,5699-MISC. APPAREL & ACCESSORY STORES
2094,CLASSB,DATA PROCESSING,7374-DATA PROCESSING AND PREPARATION
2096,CLASSB,DAY NURSERY/CHILD CARE CENTER,8351-CHILD DAY CARE SERVICES
2097,CLASSB,DELIVERY SERVICE,"7319-ADVERTISING, NEC"
2099,CLASSB,DETECTIVE/PROTECTIVE SERVICES,"7299-MISCELLANEOUS PERSONAL SERVICES, NEC"
2102,CLASSB,DENTAL LABORATORY SERVICES,8072-DENTAL LABORATORIES
2103,CLASSB,DIAPER SERVICE,"7219-LAUNDRY AND GARMENT SERVICES, NEC"
2105,CLASSB,DISINFECTING & EXTERMINATING,7342-DISINFECTING & PEST CONTROL SERVICES
2108,CLASSB,DRY CLEANING/PRESSING/DYEING,7212-GARMENT PRESSING & CLEANERS' AGENTS
2111,CLASSB,EMPLOYMENT AGENCY/TEMP HELP SV,7361-EMPLOYMENT AGENCIES
2114,CLASSB,EQUIP/SUPPLY PROFESS - RENTALS,"7359-EQUIPMENT RENTAL & LEASING, NEC"
2117,CLASSB,EQUIP RENTAL & LEASING,"7359-EQUIPMENT RENTAL & LEASING, NEC"
2118,CLASSB,FINANCIAL/INVEST. CONSULTING,6282-INVESTMENT ADVICE
2120,CLASSB,FUNERAL PARLOR - MORTUARY,7261-FUNERAL SERVICE AND CREMATORIES
2122,CLASSB,GRAPHIC DESIGN,7336-COMMERCIAL ART AND GRAPHIC DESIGN
2123,CLASSB,GUNSMITHS,"7699-REPAIR SERVICES, NEC"
2126,CLASSB,GYMS/ATHLETIC CLUBS/BODY BLDG,7991-PHYSICAL FITNESS FACILITIES
2127,CLASSB,HAULING SERVICE,"4212-LOCAL TRUCKING, WITHOUT STORAGE"
2129,CLASSB,HEALTH SERVICES,"8099-HEALTH AND ALLIED SERVICES, NEC"
2132,CLASSB,HOME REPAIR/REMODEL/SERVICE,"7699-REPAIR SERVICES, NEC"
2135,CLASSB,HORTICULTURAL SERVICES,0781-LANDSCAPE COUNSELING AND PLANNING
2138,CLASSB,HOSPITALS/MEDICAL CLINICS,6324-HOSPITAL AND MEDICAL SERVICE PLANS
2141,CLASSB,INS AGENTS/SERVICES,"6411-INSURANCE AGENTS, BROKERS, & SERVICE"
2144,CLASSB,INSURANCE CARRIERS,"6399-INSURANCE CARRIERS, NEC"
2147,CLASSB,INTERIOR DECORATORS,"7389-BUSINESS SERVICES, NEC"
2150,CLASSB,JANITORIAL SERVICES/MAINTENANC,"7349-BUILDING MAINTENANCE SERVICES, NEC"
2153,CLASSB,LANDSCAPE GARDENING,0781-LANDSCAPE COUNSELING AND PLANNING
2156,CLASSB,"LAUNDRIES, DYEING & CLEANING","7219-LAUNDRY AND GARMENT SERVICES, NEC"
2159,CLASSB,LAUNDROMAT,7215-COIN-OPERATED LAUNDRIES AND CLEANING
2162,CLASSB,"LAUNDRY SERVICES, INDUSTRIAL","7211-POWER LAUNDRIES, FAMILY & COMMERCIAL"
2165,CLASSB,LEGAL SERVICES/REFERRAL/MISC,8111-LEGAL SERVICES
2168,CLASSB,LOCKSMITHS - REPAIR/SERVICE,"7699-REPAIR SERVICES, NEC"
2171,CLASSB,"MACHINE SHOPS, REPAIR","3599-INDUSTRIAL MACHINERY, NEC"
2174,CLASSB,MARRIAGE & FAMILY SERVICES,8322-INDIVIDUAL AND FAMILY SERVICES
2177,CLASSB,MASSAGE/STEAM/SAUNA BATHS,"7299-MISCELLANEOUS PERSONAL SERVICES, NEC"
2180,CLASSB,MISC BUSINESS SERVICES,"7389-BUSINESS SERVICES, NEC"
2183,CLASSB,MISC PERSONAL SERVICES,"7299-MISCELLANEOUS PERSONAL SERVICES, NEC"
2186,CLASSB,MOBILE HOME PARKS,9999-NONCLASSIFIABLE ESTABLISHMENTS
2192,CLASSB,MOVING/HOUSEHOLD GOODS,"8999-SERVICES, NEC"
2193,CLASSB,MUSICIANS,7929-ENTERTAINERS & ENTERTAINMENT GROUPS
2195,CLASSB,OCEANOGRAPHIC RESEARCH,8732-COMMERCIAL NONPHYSICAL RESEARCH
2198,CLASSB,"PARKING LOTS/GARAGE,COMMERCIAL",7521-AUTOMOBILE PARKING
2201,CLASSB,PET GROOMING/TRAINING/SERVICE,"7299-MISCELLANEOUS PERSONAL SERVICES, NEC"
2204,CLASSB,PHOTOFINISHING SERVICES,7384-PHOTOFINISHING LABORATORIES
2207,CLASSB,PHOTOGRAPHY COMM/PORTRAIT,"7221-PHOTOGRAPHIC STUDIOS, PORTRAIT"
2210,CLASSB,PICKUP & DELIVERY SERVICE,7212-GARMENT PRESSING & CLEANERS' AGENTS
2213,CLASSB,"PRINTING, COMMERCIAL","2752-COMMERCIAL PRINTING, LITHOGRAPHIC"
2216,CLASSB,PROMOTION & PRODUCTION SERVICE,"7941-SPORTS CLUBS, MANAGERS, & PROMOTERS"
2217,CLASSB,PUBLISHING,"7313-RADIO, TV, PUBLISHER REPRESENTATIVES"
2219,CLASSB,RADIO/TV/STEREO SERVICE/REPAIR,7622-RADIO AND TELEVISION REPAIR
2222,CLASSB,REAL ESTATE AGENTS,6531-REAL ESTATE AGENTS AND MANAGERS
2225,CLASSB,"REAL ESTATE SERVICES, OTHER",6531-REAL ESTATE AGENTS AND MANAGERS
2228,CLASSB,REAL ESTATE OPERATIVE BUILDERS,"6552-SUBDIVIDERS AND DEVELOPERS, NEC"
2231,CLASSB,"REPAIR SERVICES, OTHER","7699-REPAIR SERVICES, NEC"
2234,CLASSB,"RESEARCH SERVICES, OTHER",8732-COMMERCIAL NONPHYSICAL RESEARCH
2236,CLASSB,RESIDENTIAL HOTEL,7011-HOTELS AND MOTELS
2237,CLASSB,RESIDENTIAL HOTEL /PK-EXISTING,6513-APARTMENT BUILDING OPERATORS
2238,CLASSB,RESIDENTIAL HOTEL/PK-NEW-LOW I,6513-APARTMENT BUILDING OPERATORS
2239,CLASSB,RESIDENTIAL HOTEL/PK-NEW-MKT R,6513-APARTMENT BUILDING OPERATORS
2240,CLASSB,REST HOME/CONVALESCENT HOSP,8051-SKILLED NURSING CARE FACILITIES
2243,CLASSB,RETIREMENT HOMES,6513-APARTMENT BUILDING OPERATORS
2246,CLASSB,ROOMING & BOARDING HOUSES,7021-ROOMING AND BOARDING HOUSES
2249,CLASSB,RUG/CARPET CLEANING/REPAIR,7217-CARPET AND UPHOLSTERY CLEANING
2252,CLASSB,SAVINGS & LOAN ASSOCIATION,6035-FEDERAL SAVINGS INSTITUTIONS
2255,CLASSB,"SCHOOLS, ART/DRAMA/MUSIC","8299-SCHOOLS & EDUCATIONAL SERVICES, NEC"
2256,CLASSB,"SCHOOLS, ART/DRAMA/MUSIC-CHILD","8299-SCHOOLS & EDUCATIONAL SERVICES, NEC"
2258,CLASSB,"SCHOOLS, BARBER/BEAUTY","8249-VOCATIONAL SCHOOLS, NEC"
2261,CLASSB,"SCHOOLS, BUSINESS/STENOGRAPHIC",8244-BUSINESS AND SECRETARIAL SCHOOLS
2264,CLASSB,"SCHOOLS, DANCING","7911-DANCE STUDIOS, SCHOOLS, AND HALLS"
2267,CLASSB,"SCHOOLS, DRIVING","8249-VOCATIONAL SCHOOLS, NEC"
2269,CLASSB,"SCHOOLS, PRIVATE HIGH SCHOOL","8249-VOCATIONAL SCHOOLS, NEC"
2270,CLASSB,"SCHOOLS, SPECIAL TRAINING","8249-VOCATIONAL SCHOOLS, NEC"
2273,CLASSB,"SCHOOLS, VOCATIONAL OR TRADE","8249-VOCATIONAL SCHOOLS, NEC"
2274,CLASSB,SEAMSTRESS/TAILOR,"7219-LAUNDRY AND GARMENT SERVICES, NEC"
2276,CLASSB,SECRETARIAL SERVICES,7336-COMMERCIAL ART AND GRAPHIC DESIGN
2282,CLASSB,SEWER/CESSPOOL MAINTENANCE,"8999-SERVICES, NEC"
2285,CLASSB,SHOE REPAIRING & DYEING,"8999-SERVICES, NEC"
2288,CLASSB,SIGN PAINTER/MAKER,"5099-DURABLE GOODS, NEC"
2290,CLASSB,SPA/POOL REPAIR,"7699-REPAIR SERVICES, NEC"
2291,CLASSB,STENOGRAPHY SVC/COURT REPORTER,7338-SECRETARIAL & COURT REPORTING
2294,CLASSB,STORAGE SERVICES,4225-GENERAL WAREHOUSING AND STORAGE
2295,CLASSB,STORAGE/SERVICE AREA/WAREHOUSE,"4226-SPECIAL WAREHOUSING AND STORAGE, NEC"
2296,CLASSB,TAX PREPARATION/SERVICES,7291-TAX RETURN PREPARATION SERVICES
2297,CLASSB,TELEGRAPH TRANSMIT/RECEIVE,4822-TELEGRAPH & OTHER COMMUNICATIONS
